FindingID,ReviewID,Protocol,InterventionID,Intervention_Name,Comparison,OutcomeMeasureID,Outcome_Measure,Outcome_Domain,Period,Sample_Description,Is_Subgroup,Outcome_Sample_Size,Outcome_Measure_Intervention_Sample_Size,Outcome_Measure_Comparison_Sample_Size,Intervention_Clusters_Sample_Size,Comparison_Clusters_Sample_Size,Intervention_Mean,Comparison_Mean,Intervention_Standard_Deviation,Comparison_Standard_Deviation,Effect_Size_Study,Effect_Size_WWC,Improvement_Index,p_Value_Study,p_Value_WWC,ICC,Clusters_Total,Is_Statistically_Significant,Finding_Rating,ESSA_Rating,L1_Unit_of_Analysis,FavorableUnfavorableDesignation
4592,70964,Beginning Reading,1130,Reading Comprehension Training Embedded in Content-Area Instruction,Content instruction,2422,Transfer-free summary,Reading Comprehension,posttest,Intervention,False,10,5,5,5,5,,,,,,,0,,0.99999,,,True,,,Student,
4593,70964,Beginning Reading,1130,Reading Comprehension Training Embedded in Content-Area Instruction,Content instruction,2423,Transfer-prompted summary,Reading Comprehension,posttest,Intervention,False,10,5,5,5,5,,,,,,,0,,0.99999,,,True,,,Student,
4594,70964,Beginning Reading,1130,Reading Comprehension Training Embedded in Content-Area Instruction,No content instruction,2422,Transfer-free summary,Reading Comprehension,posttest,Intervention,False,10,5,5,5,5,,,,,,,0,,0.99999,,,True,,,Student,
4595,70964,Beginning Reading,1130,Reading Comprehension Training Embedded in Content-Area Instruction,No content instruction,2423,Transfer-prompted summary,Reading Comprehension,posttest,Intervention,False,10,5,5,5,5,,,,,,,0,,0.99999,,,True,,,Student,
4596,70979,Primary Mathematics,1191,Interleaved mathematics practice,Other intervention,2424,"Proportion correct, Problem type A",General Mathematics Achievement,posttest,Whole class,False,140,70,70,4,4,0.56,0.27,0.43,0.34,0.72,0.74408014704869,26,,0.0453408722897534,0.2,,False,,,Student,
4597,70979,Primary Mathematics,1191,Interleaved mathematics practice,Other intervention,2425,"Proportion correct, Problem type B",General Mathematics Achievement,posttest,Whole class,False,140,70,70,4,4,0.78,0.61,0.35,0.43,0.45,0.431261756345133,17,,0.207870173011451,0.2,,False,,,Student,
4598,70979,Primary Mathematics,1191,Interleaved mathematics practice,Other intervention,2426,"Proportion correct, Problem type C",General Mathematics Achievement,posttest,Whole class,False,140,70,70,4,4,0.82,0.44,0.31,0.45,1,0.978098634023252,34,,0.00592327780179247,0.2,,True,1,Evidence Tier 3,Student,
4599,70979,Primary Mathematics,1191,Interleaved mathematics practice,Other intervention,2427,"Proportion correct, Problem type D",General Mathematics Achievement,posttest,Whole class,False,140,70,70,4,4,0.71,0.21,0.41,0.38,1.27,1.25802407097806,40,,0.000556098292538776,0.2,,True,1,Evidence Tier 3,Student,
4600,70978,Beginning Reading,1129,Response to Intervention- Tiered instruction in vocabulary training,Other intervention,2428,Expressive level of word knowledge,Comprehension,posttest,Full sample,False,89,45,44,,,3.67,2.61,2.22,2.01,0.5,0.495955659169542,19,,0.0205717629391892,,,True,1,Evidence Tier 3,Student,
4601,70978,Beginning Reading,1129,Response to Intervention- Tiered instruction in vocabulary training,Other intervention,2429,Contextual level of word knowledge,Comprehension,posttest,Full sample,False,89,45,44,,,4.4,3.27,1.64,1.87,0.64,0.637420241321727,24,,0.00332097411266275,,,True,1,Evidence Tier 3,Student,
4602,70978,Beginning Reading,1129,Response to Intervention- Tiered instruction in vocabulary training,Other intervention,2430,Receptive level of word knowledge,Comprehension,posttest,Full sample,False,89,45,44,,,6.09,5.43,1.96,1.55,0.37,0.369809861019581,14,0.05,0.0844448884656795,,,False,,,Student,
4607,70977,Single Study Review,1105,TAKE CHARGE,Foster Care Independent Living Program (ILP),2431,Arc Self-determination Scale,Behavior,posttest,Full sample,False,60,29,31,,,111.83,97.61,15.16,24.64,0.41,0.680826992272993,16,0.007,0.117848809907536,,,True,1,Evidence Tier 3,Student,
4608,70977,Single Study Review,1105,TAKE CHARGE,Foster Care Independent Living Program (ILP),2432,Mean number of accomplishments identified,Behavior,posttest,Full sample,False,60,29,31,,,2.93,1.37,1.67,0.93,0.83,1.14965947199567,30,,0.00213104048109602,,,True,1,Evidence Tier 3,Student,
4609,70977,Single Study Review,1105,TAKE CHARGE,Foster Care Independent Living Program (ILP),2433,Mean number of goals identified,Behavior,posttest,Full sample,False,60,29,31,,,2.25,1.96,1.42,1.16,0.2,0.221531850429686,8,0.379,0.643999328395798,,,False,,,Student,
4610,70977,Single Study Review,1105,TAKE CHARGE,Foster Care Independent Living Program (ILP),2434,Quality of Life Questionnaire,Social-emotional development,posttest,Full sample,False,60,29,31,,,84.3,75.81,8.65,11.36,0.58,0.826197880571673,22,0.003,0.0285244764761937,,,True,1,Evidence Tier 3,Student,
4611,70977,Single Study Review,1105,TAKE CHARGE,Foster Care Independent Living Program (ILP),2435,Transition Planning Assessment,Behavior,posttest,Full sample,False,60,29,31,,,27.97,23.29,6.81,11.93,0.18,0.471435486258157,7,0.038,0.488695694502414,,,False,,,Student,
4612,70977,Single Study Review,1105,TAKE CHARGE,Foster Care Independent Living Program (ILP),2436,Mean number of transition services used,Functional abilities,posttest,Full sample,False,60,29,31,,,4.81,3.69,2.77,1.92,0.27,0.466685124693807,11,0.054,0.300228627998711,,,False,,,Student,
4613,70977,Single Study Review,1105,TAKE CHARGE,Foster Care Independent Living Program (ILP),2437,Mean number of independent living activities,Functional abilities,posttest,Full sample,False,60,29,31,,,1.72,0.73,1.27,0.81,0.83,0.924137279999875,30,0.002,0.00213104048109602,,,True,1,Evidence Tier 3,Student,
4614,70977,Single Study Review,1105,TAKE CHARGE,Foster Care Independent Living Program (ILP),2438,High school graduation,Emotional/internal behavior,posttest,Full sample,False,60,29,31,,,,,,,0.33,,13,,0.2064739667471,,,False,,,Student,
4615,70977,Single Study Review,1105,TAKE CHARGE,Foster Care Independent Living Program (ILP),2439,Post-secondary enrollment,Emotional/internal behavior,posttest,Full sample,False,60,29,31,,,,,,,0.48,,18,,0.0681608547318114,,,False,,,Student,
4616,70977,Single Study Review,1105,TAKE CHARGE,Foster Care Independent Living Program (ILP),2440,Percent employed in paid jobs,Functional abilities,posttest,Full sample,False,60,29,31,,,,,,,0.6,,23,,0.0236753129933118,,,True,1,Evidence Tier 3,Student,
4618,51288,Middle School Math,380,Transition Mathematics,Business as usual,744,High School Subject Test: General Mathematics,General Mathematics Achievement,,Grades 7-9,False,91,41,50,,,52.7,58.5,23.9,20.6,-0.26,-0.259707675904047,-10,0.332,0.22040038251146,,,False,,,Student,
4619,51288,Middle School Math,380,Transition Mathematics,Business as usual,681,Algebra Readiness,General Mathematics Achievement,,Grades 7-9,False,91,41,50,,,41.9,39.7,25.1,22.3,0.09,0.092434267726138,4,0,0.670277165252023,,,True,,Evidence Tier 3,Student,
4620,51288,Middle School Math,380,Transition Mathematics,Business as usual,741,Geometry Readiness,General Mathematics Achievement,,Grades 7-9,False,91,41,50,,,49.2,39.5,19.1,18.9,0.51,0.50647462280588,19,0.032,0.0175025091014732,,,False,,,Student,
4621,51288,Middle School Math,380,Transition Mathematics,Business as usual,799,Problem-Solving and Understanding,General Mathematics Achievement,,Grades 7-9,False,93,43,50,,,4.02,2.96,2.99,3.06,0.35,0.347185164539732,14,,0.0957947114197422,,,False,,,Student,
4622,70969,Primary Mathematics,1207,Fractions video games,Equation-solving video grames,2441,Score on researcher-developed fraction test (summed item score),General Mathematics Achievement,Post intervention,Full sample,False,1468,759,709,30,29,11.07,9.57,5.22,4.59,0.207,0.304362378181658,8,0.001,9.2469034654985E-05,,,True,1,Evidence Tier 1,Student,
4623,70975,Early Childhood Education for Children with Disabilities,1155,Parents and Children Making Connections – Highlighting Attention (PCC-A),Head Start,2442,Nonverbal intelligence,Cognition,,PCMC-A Full Sample,False,104,66,38,,,,,2.09,2.17,0.4,,16,0.003,0.0521902401701321,,,True,1,Evidence Tier 3,Student,
4624,70975,Early Childhood Education for Children with Disabilities,1155,Parents and Children Making Connections – Highlighting Attention (PCC-A),Attention Boost for Children,2442,Nonverbal intelligence,Cognition,,PCMC-A Full Sample,False,102,66,36,,,,,2.09,2.06,0.38,,15,0.005,0.0695936829594956,,,True,1,Evidence Tier 3,Student,
4625,70975,Early Childhood Education for Children with Disabilities,1155,Parents and Children Making Connections – Highlighting Attention (PCC-A),Head Start,2443,Receptive language,Language development,,PCMC-A Full Sample,False,104,66,38,,,,,2.61,3.39,0.22,,9,0.045,0.282503687580482,,,False,,,Student,
4626,70975,Early Childhood Education for Children with Disabilities,1155,Parents and Children Making Connections – Highlighting Attention (PCC-A),Attention Boost for Children,2443,Receptive language,Language development,,PCMC-A Full Sample,False,102,66,36,,,,,2.61,3.2,0.22,,9,0.049,0.290855409502876,,,False,,,Student,
4627,70975,Early Childhood Education for Children with Disabilities,1155,Parents and Children Making Connections – Highlighting Attention (PCC-A),Head Start,2444,Social skills: Parent rating,Social-emotional development,,PCMC-A Full Sample,False,92,57,35,,,,,8.38,10.48,0.34,,13,0.024,0.116828107062914,,,False,,,Student,
4628,70975,Early Childhood Education for Children with Disabilities,1155,Parents and Children Making Connections – Highlighting Attention (PCC-A),Head Start,2445,Social skills: Teacher rating,Social-emotional development,,PCMC-A Full Sample,False,102,65,37,,,,,11.05,14.2,0.31,,12,0.022,0.135371466304941,,,False,,,Student,
4629,70975,Early Childhood Education for Children with Disabilities,1155,Parents and Children Making Connections – Highlighting Attention (PCC-A),Head Start,2446,Problem behaviors: Parent rating,Social-emotional development,,PCMC-A Full Sample,False,92,57,35,,,,,19.1,20.85,0.26,,10,0.044,0.229130250263761,,,False,,,Student,
4630,70975,Early Childhood Education for Children with Disabilities,1155,Parents and Children Making Connections – Highlighting Attention (PCC-A),Head Start,2447,Problem behaviors: Teacher rating,Social-emotional development,,PCMC-A Full Sample,False,102,65,37,,,,,22.53,28.27,0.14,,6,0.2,0.498181981763268,,,False,,,Student,
4631,70975,Early Childhood Education for Children with Disabilities,1155,Parents and Children Making Connections – Highlighting Attention (PCC-A),Attention Boost for Children,2445,Social skills: Teacher rating,Social-emotional development,,PCMC-A Full Sample,False,100,65,35,,,,,11.05,8.24,0.13,,5,0.338,0.536642613731992,,,False,,,Student,
4632,70975,Early Childhood Education for Children with Disabilities,1155,Parents and Children Making Connections – Highlighting Attention (PCC-A),Attention Boost for Children,2447,Problem behaviors: Teacher rating,Social-emotional development,,PCMC-A Full Sample,False,100,65,35,,,,,22.53,18.93,0.06,,2,0.579,0.775336909922356,,,False,,,Student,
4633,1778,Students with a Specific Learning Disability,325,Read Naturally,Pay Attention!,1316,Wechsler Individual Achievement Test (WIAT): Written Expression subtest,Writing achievement,Midtest,Grades 4; 5; 6,False,20,10,10,,,92.6,89.4,9.14,9.1,0.34,0.336050588034296,13,0.39,0.456428610788678,,,False,,,Student,
4635,50441,Character Education,204,Connect with Kids,None,281,Middle/high school student survey: Part 2,Behavior,,Grades 7-12,False,22,11,11,11,11,4.25,3.94,0.64,0.59,0.48,0.484523168990301,18,,0.272993757023527,,,False,,,Student,
4636,65716,Early Childhood Education,216,Ladders to Literacy,None,881,Peabody Picture Vocabulary Test III (PPVT-III),Oral language,,Preschool children,False,104,53,51,7,7,88.24,95.43,18.03,14.88,-0.38,-0.430954532542623,-15,,0.200409053505303,0.2,,False,,,Student,
4637,65716,Early Childhood Education,216,Ladders to Literacy,None,900,Test of Language Development - Primary III (TOLD-PIII): Grammatic Understanding subtest,Oral language,,Preschool children,False,105,54,51,7,7,8.38,9.45,2.87,2.61,-0.22,-0.386692114424581,-9,,0.454917966008462,0.2,,False,,,Student,
4638,65716,Early Childhood Education,216,Ladders to Literacy,None,971,Test of Early Reading Ability III (TERA-III),Print knowledge,,Preschool children,False,105,54,51,7,7,,,,,-0.3,,-12,,0.308910679474166,0.2,,False,,,Student,
4639,65716,Early Childhood Education,216,Ladders to Literacy,None,973,Woodcock-Johnson III (WJ-III): Letter-Word Identification subtest,Print knowledge,,Preschool children,False,105,54,51,7,7,,,,,0.04,,2,,0.89175668090591,0.2,,False,,,Student,
4640,65716,Early Childhood Education,216,Ladders to Literacy,None,972,Woodcock-Johnson III (WJ-III): Letter-Spelling subtest,Print knowledge,,Preschool children,False,105,54,51,7,7,,,,,0.27,,11,,0.359511333913813,0.2,,False,,,Student,
4641,65716,Early Childhood Education,216,Ladders to Literacy,None,687,Building Blocks Shape Composition Task,General Mathematics Achievement,,Preschool children,False,104,53,51,7,7,,,,,0.1,,4,,0.734982212672865,0.2,,False,,,Student,
4642,65716,Early Childhood Education,216,Ladders to Literacy,None,696,Child Math Assessment- Abbreviated (CMA-A) Composite score,General Mathematics Achievement,,Preschool children,False,105,54,51,7,7,,,,,0.11,,4,,0.708338239823588,0.2,,False,,,Student,
4643,65716,Early Childhood Education,216,Ladders to Literacy,None,861,Woodcock-Johnson III (WJ-III): Applied Problems subtest,General Mathematics Achievement,,Preschool children,False,105,54,51,7,7,,,,,0.03,,1,,0.918706065497756,0.2,,False,,,Student,
4644,50428,Early Childhood Education,275,Phonological Awareness Training plus Letter Knowledge Training,Business as usual,960,Letter-sound correspondence,Print knowledge,,4 year olds,False,129,67,62,5,5,1.97,1.61,2.87,4.34,0.1,0.098027713324741,4,,0.571392843378587,,,False,,,Student,
4645,50428,Early Childhood Education,275,Phonological Awareness Training plus Letter Knowledge Training,Business as usual,965,Print conventions,Print knowledge,,4 year olds,False,129,67,62,5,5,5.96,5.45,2.64,2.61,0.19,0.193089508103386,8,,0.282980306853055,,,False,,,Student,
4646,50428,Early Childhood Education,275,Phonological Awareness Training plus Letter Knowledge Training,Business as usual,933,Rhyming,Phonological processing,,4 year olds,False,129,67,62,5,5,7.1,5.94,3.06,3.03,0.38,0.378620208901971,15,,0.0329248508424002,,,False,,,Student,
4647,72014,Postsecondary Education,1177,Malleable Intelligence Pen Pals,Malleable pen pal or no pen pal,1996,GPA,Academic achievement,,Full sample,False,79,28,51,,,3.46,3.19,0.3,0.29,0.91,0.910801781219212,32,,0.000225343661150235,,,True,1,Evidence Tier 3,Student,
4655,71694,Developmental Education,815,First Year Experience Courses for Students in Developmental Education,Business as usual,73,Percentage of students who passed all courses during the program semester,Academic achievement,Program semester,College students,False,911,458,453,,,,,,,-0.11,,-4,,0.0979537199869095,,,False,,,Student,
4656,71694,Developmental Education,815,First Year Experience Courses for Students in Developmental Education,Business as usual,2451,Percentage of students who earned a GPA of "C" or better in nondevelopmental courses,Academic achievement,Program semester to third post-program semester,College students,False,667,326,341,,,,,,,-0.03,,-1,,0.69881083254089,,,False,,,Student,
4657,71694,Developmental Education,815,First Year Experience Courses for Students in Developmental Education,Business as usual,986,Passed developmental math course,Progress in developmental education,Program semester to third post-program semester,College students,False,911,458,453,,,,,,,0.02,,1,,0.762995950771889,,,False,,,Student,
4658,71694,Developmental Education,815,First Year Experience Courses for Students in Developmental Education,Business as usual,987,Passed developmental reading course,Progress in developmental education,Program semester to third post-program semester,College students,False,911,458,453,,,,,,,-0.04,,-2,,0.546534877900409,,,False,,,Student,
4659,71694,Developmental Education,815,First Year Experience Courses for Students in Developmental Education,Business as usual,985,Passed developmental English course,Progress in developmental education,Program semester to third post-program semester,College students,False,911,458,453,,,,,,,-0.04,,-2,,0.546534877900409,,,False,,,Student,
4660,72022,Single Study Review,1151,Personalized Learning,Business as usual,2452,Northwest Evaluation Association (NWEA) Measures of Academic Progress (MAP): Mathematics,Academic achievement,,Full sample,False,232262,4792,227470,,,,,,,0.41,,16,,0,,,True,2,Evidence Tier 2,Student,
4661,72022,Single Study Review,1151,Personalized Learning,Business as usual,2453,Northwest Evaluation Association (NWEA) Measures of Academic Progress (MAP): Reading,Academic achievement,,Full sample,False,246617,5014,241603,,,,,,,0.29,,11,,0,,,True,2,Evidence Tier 2,Student,
4662,72027,Transition to College,1164,National Math + Science Initiative (NMSI) College Readiness Program,Business as usual,2454,"Qualifying Score Increases: Math, Science, and English",Academic achievement,Year 1,Cohort 5,False,10177,80,10097,,,,,,,0.91,,32,0,1.33226762955019E-14,,,True,2,Evidence Tier 2,Student,
4663,72027,Transition to College,1164,National Math + Science Initiative (NMSI) College Readiness Program,Business as usual,2454,"Qualifying Score Increases: Math, Science, and English",Academic achievement,Year 2,Cohort 5,False,10177,80,10097,,,,,,,0.809,,29,0,4.64672744726613E-12,,,True,2,Evidence Tier 2,Student,
4664,72027,Transition to College,1164,National Math + Science Initiative (NMSI) College Readiness Program,Business as usual,2454,"Qualifying Score Increases: Math, Science, and English",Academic achievement,Year 1,Cohort 6,False,10196,99,10097,,,,,,,0.68,,25,0,8.45933323390113E-11,,,True,2,Evidence Tier 2,Student,
4665,72049,Single Study Review,1080,Value-added model (VAM),Business as usual,2455,Math and reading scores,Academic achievement,1991-2009,Arrival of a top 5% teacher,False,3384,1692,1692,,,0.23,0.2,1,1,0.04,0.0299933466400532,2,0,0.245574273299082,,,True,,,Student,
4666,72049,Single Study Review,1080,Value-added model (VAM),Business as usual,2455,Math and reading scores,Academic achievement,1991-2009,Departure of a top 5% teacher,False,3304,1652,1652,,,0.19,0.24,1,1,-0.05,-0.0499886423866131,-2,0,0.151757028981844,,,True,,,Student,
4667,72049,Single Study Review,1080,Value-added model (VAM),Business as usual,2455,Math and reading scores,Academic achievement,1991-2009,Arrival of a bottom 5% teacher,False,3286,1643,1643,,,0.19,0.22,1,1,-0.03,-0.0299931480776551,-1,0,0.390555769404664,,,True,,,Student,
4668,72049,Single Study Review,1080,Value-added model (VAM),Business as usual,2455,Math and reading scores,Academic achievement,1991-2009,Departure of a bottom 5% teacher,False,3202,1601,1601,,,0.16,0.14,1,1,0.02,0.0199953121337604,1,0,0.571910475997388,,,True,,,Student,
4669,71946,Postsecondary Education,1081,Utility Values and Values Affirmation,None,2456,Final biology course grade,Academic achievement,,Utility Values Full Sample,False,515,289,226,,,2.73,2.6,0.79,0.83,0.16,0.160697966140204,6,,0.0725722352673201,,,False,,,Student,
4670,71946,Postsecondary Education,1081,Utility Values and Values Affirmation,None,2456,Final biology course grade,Academic achievement,,Under represented minority - ,True,98,55,43,,,2.59,2.42,0.84,0.81,0.2,0.203949925684334,8,,0.328297879264555,,,False,,,Student,
4671,71946,Postsecondary Education,1081,Utility Values and Values Affirmation,None,2456,Final biology course grade,Academic achievement,,Values Affirmation Full Sample,False,461,235,226,,,2.54,2.6,0.82,0.83,-0.07,-0.072615668612284,-3,,0.453037857028856,,,False,,,Student,
4672,71946,Postsecondary Education,1081,Utility Values and Values Affirmation,None,2456,Final biology course grade,Academic achievement,,Under represented minority - ,True,81,38,43,,,2.19,2.42,0.93,0.81,-0.26,-0.262371822598191,-10,,0.246368649662426,,,False,,,Student,
4673,71946,Postsecondary Education,1081,Utility Values and Values Affirmation,None,2456,Final biology course grade,Academic achievement,,Utility Values and Values Affirmation Full Sample,False,516,290,226,,,2.71,2.6,0.81,0.83,0.13,0.134144365109166,5,,0.143936747755775,,,False,,,Student,
4674,71946,Postsecondary Education,1081,Utility Values and Values Affirmation,None,2456,Final biology course grade,Academic achievement,,Under represented minority - ,True,97,54,43,,,2.57,2.42,0.87,0.81,0.18,0.176318349405176,7,,0.380690947701202,,,False,,,Student,
4675,71952,Transition to College,1071,Advanced Placement Training and Incentive Program (APTIP),Business as usual,2457,"Scoring greater or equal to 3 on any math, science, or English AP exam",Academic achievement,2009,Full sample,False,192,64,128,64,128,,,,,1.07,,36,,4.49370540778204E-11,,,True,2,Evidence Tier 3,Student,
4676,71952,Transition to College,1071,Advanced Placement Training and Incentive Program (APTIP),Business as usual,2458,Scoring greater or equal to 3 on any AP exam,Academic achievement,2009,Full sample,False,192,64,128,64,128,,,,,0.84,,30,,1.2881722144531E-07,,,True,2,Evidence Tier 3,Student,
4677,71952,Transition to College,1071,Advanced Placement Training and Incentive Program (APTIP),Business as usual,2459,Scoring greater or equal to 3 on any science AP exam,Academic achievement,2009,Full sample,False,192,64,128,64,128,,,,,0.56,,21,,0.000329222637761917,0.2,,True,2,Evidence Tier 3,Student,
4678,71952,Transition to College,1071,Advanced Placement Training and Incentive Program (APTIP),Business as usual,2460,Scoring greater or equal to 3 on any English AP exam,Academic achievement,2009,Full sample,False,192,64,128,64,128,,,,,0.93,,32,,6.642062677642E-09,0.2,,True,2,Evidence Tier 3,Student,
4679,71952,Transition to College,1071,Advanced Placement Training and Incentive Program (APTIP),Business as usual,2461,Scoring greater or equal to 3 on any math AP exam,Academic achievement,2009,Full sample,False,192,64,128,64,128,,,,,0.52,,20,,0.000830828842358855,0.2,,True,2,Evidence Tier 3,Student,
4687,71920,Primary Mathematics,436,Reasoning Mind,Business as usual,2465,Singapore Math test,General Mathematics Achievement,,Full sample,False,213,120,93,4,4,23.62,16.2,13.55,14.5,0.63,0.529166082263896,24,,8.6380149572074E-06,,,True,2,Evidence Tier 3,Student,
4688,71922,Secondary Mathematics,1069,Algebra Nation,Business as usual,723,Algebra I end-of-course exam score,General Mathematics Achievement,Spring 2014,Full sample,False,364,291,73,,,398.52,395.6,11.3,10.79,0.26,0.260164147190957,10,,0.0479170127306956,,,False,,,Student,
4689,71922,Secondary Mathematics,1069,Algebra Nation,Business as usual,2466,Algebra I end-of-course exam pass rate,General Mathematics Achievement,Spring 2014,Full sample,False,364,291,73,,,0.55,0.49,,,0.13,,5,,0.321453086567044,,,False,,,Student,
4690,71923,Postsecondary Education,1199,High-Impact Practices (HIPs): Undergraduate Research Courses as HIPs,None,1996,GPA,Academic achievement,At graduation,Full sample,False,1478,739,739,,,3.31,3.28,0.43,0.42,0.07,0.0705474792025762,3,0.001,0.179458351031205,,,True,2,Evidence Tier 3,Student,
4691,71923,Postsecondary Education,1199,High-Impact Practices (HIPs): Undergraduate Research Courses as HIPs,None,2467,Time to degree,Credit accumulation and persistence,At graduation,Full sample,False,1478,739,739,,,0.79,0.87,0.47,0.5,-0.17,-0.164785831599144,-7,0,0.00120970139002374,,,True,,,Student,
4692,71926,Single Study Review,1063,Blended Learning for Alliance School Transformation (BLAST),Business as usual,2468,Grade 9 CST math,General Mathematics Achievement,Posttest,Grade 9,False,525,212,313,3,3,310,339.4,61.7,63.7,-0.47,-0.466732273322557,-18,0.026,0.233228967279609,0.2,,True,,,Student,
4693,71926,Single Study Review,1063,Blended Learning for Alliance School Transformation (BLAST),Business as usual,2469,Grade 9 CST English Language Arts (ELA),Literacy Achievement,Posttest,Grade 9,False,721,316,405,3,3,325,339.1,51.2,47,-0.29,-0.288134061746253,-11,,0.454564334229602,0.2,,True,,,Student,
4694,71926,Single Study Review,1063,Blended Learning for Alliance School Transformation (BLAST),Business as usual,2470,English Language Arts (ELA) Benchmark Assessment,Literacy Achievement,Posttest,Grade 9,False,721,316,405,3,3,3.1,3.2,0.8,0.6,-0.14,-0.143787543571051,-6,0.037,0.7178959715531,0.2,,True,,,Student,
4695,71926,Single Study Review,1063,Blended Learning for Alliance School Transformation (BLAST),Business as usual,2470,English Language Arts (ELA) Benchmark Assessment,Literacy Achievement,Posttest,Grade 10,False,437,173,264,3,3,3.1,3.2,0.7,0.6,-0.16,-0.155638408696707,-6,0.286,0.685657752898643,0.2,,False,,,Student,
4696,71934,Postsecondary Education,1084,Undergraduate Research Opportunity Program,None,2471,Persistence,Access and enrollment,Fall 1994,Full sample,False,1280,613,667,,,0.07,0.1,,,-0.19,,-8,,0.000776511243391842,,,True,,,Student,
4697,71934,Postsecondary Education,1084,Undergraduate Research Opportunity Program,None,2471,Persistence,Access and enrollment,Fall 1994,African-American sample - ,True,390,237,153,,,0.1,0.18,,,-0.42,,-16,,6.53123601657146E-05,,,True,,,Student,
4698,71934,Postsecondary Education,1084,Undergraduate Research Opportunity Program,None,2471,Persistence,Access and enrollment,Fall 1994,Hispanic sample - ,True,166,95,71,,,0.12,0.11,,,0.02,,1,,0.898709961904023,,,False,,,Student,
4699,71934,Postsecondary Education,1084,Undergraduate Research Opportunity Program,None,2471,Persistence,Access and enrollment,Fall 1994,White sample - ,True,724,281,443,,,0.03,0.06,,,-0.41,,-16,,1.53220408360966E-07,,,True,,,Student,
4702,71919,Middle School Math,436,Reasoning Mind,Business as usual,2474,Iowa Test of Basic Skills (ITBS),General Mathematics Achievement,Posttest,Full sample,False,493,193,300,2,2,,,1.05,1,0.24,,9,0.003,0.625186819570892,0.2,,False,,,Student,
4703,71977,Developmental Education,1072,Accelerated Study in Associate Programs (ASAP),Business as usual,2475,% Enrolled at any CUNY College,Access and enrollment,Main Session 1,Full sample,False,896,451,445,,,0.96,0.94,,,0.13,,5,0.0601,0.0526343886572005,,,False,,,Student,
4704,71977,Developmental Education,1072,Accelerated Study in Associate Programs (ASAP),Business as usual,2476,% Enrolled at any college,Access and enrollment,Semester 1,Full sample,False,896,451,445,,,0.97,0.94,,,0.1,,4,0.0755,0.135541011165575,,,False,,,Student,
4705,71977,Developmental Education,1072,Accelerated Study in Associate Programs (ASAP),Business as usual,2477,Cumulative college-level credits,Credit accumulation,Semester 6,Full sample,False,896,451,445,,,42.89,35.18,27.7,27.8,0.28,0.277607593600588,11,0,3.66435543884824E-05,,,True,1,Evidence Tier 3,Student,
4706,71977,Developmental Education,1072,Accelerated Study in Associate Programs (ASAP),Business as usual,2478,% Earned a degree from any college,Attainment,Semester 6,Full sample,False,896,451,445,,,0.4,0.22,,,0.53,,20,,4.30766533554561E-14,,,True,1,Evidence Tier 3,Student,
4707,71977,Developmental Education,1072,Accelerated Study in Associate Programs (ASAP),Business as usual,2479,% Completed development requirements,Progress in developmental education,Semester 6,Full sample,False,896,451,445,,,0.75,0.57,,,0.5,,19,0,8.09907696464052E-13,,,True,1,Evidence Tier 3,Student,
4708,71977,Developmental Education,1072,Accelerated Study in Associate Programs (ASAP),Business as usual,2480,Term GPA- % with GPA >2.0,Academic achievement,Semester 1,Full sample,False,896,451,445,,,0.69,0.6,,,0.18,,7,,0.00745901277561889,,,True,1,Evidence Tier 3,Student,
4709,71977,Developmental Education,1072,Accelerated Study in Associate Programs (ASAP),Business as usual,2481,Transferred to 4-year institution,Access and enrollment,Semester 6,Full sample,False,896,451,445,,,0.25,0.17,,,0.29,,11,,1.94795739399956E-05,,,True,1,Evidence Tier 3,Student,
4710,71977,Developmental Education,1072,Accelerated Study in Associate Programs (ASAP),Business as usual,2478,% Earned a degree from any college,Attainment,Semester 6,Male - ,True,340,163,177,,,0.37,0.18,,,0.59,,22,0,1.13638323750997E-07,,,True,,,Student,
4711,71977,Developmental Education,1072,Accelerated Study in Associate Programs (ASAP),Business as usual,2478,% Earned a degree from any college,Attainment,Semester 6,Female - ,True,556,288,268,,,0.42,0.24,,,0.48,,18,0.0001,3.62337180259686E-08,,,True,,,Student,
4712,71980,Transition to College,1071,Advanced Placement Training and Incentive Program (APTIP),Business as usual,2482,"% Passing AP Test (Math, Science, English)",Academic achievement,,Cohort 1,False,36,18,18,,,,,,,,,0,,0.99999,,,False,,,Student,
4713,71694,Developmental Education,815,First Year Experience Courses for Students in Developmental Education,Business as usual,1598,Percentage of students registered for any course,Credit accumulation and persistence,Program semester to third post-program semester,College students,False,911,458,453,,,,,,,0.02,,1,,0.762995950771889,,,False,,,Student,
4714,71694,Developmental Education,815,First Year Experience Courses for Students in Developmental Education,Business as usual,1594,"Number of credits earned (regular, college-level courses)",Credit accumulation and persistence,Program semester to third post-program semester,College students,False,911,458,453,,,12.8,12.7,,,0.01,,0,,0.880146863962327,,,False,,,Student,
4715,71988,Single Study Review,1168,Motivational Interviewing (MI),None,2483,Participation,Behavior,Posttest,Full sample,False,102,49,53,,,14.55,12.82,14.99,10.87,0.13,0.13196019433296,5,,0.513339595264957,,,False,,,Student,
4716,71988,Single Study Review,1168,Motivational Interviewing (MI),None,2484,Completed Homework,Behavior,Posttest,Full sample,False,102,49,53,,,5.38,5.63,13.13,12.02,-0.02,-0.0197468714934088,-1,,0.919816123915112,,,False,,,Student,
